Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Action,Latest Action Date,Number of Related Bills,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill
H.R. 6435,https://www.congress.gov/bill/116th-congress/house-bill/6435,116th Congress (2019-2020),Combating Pandemic Scams Act of 2020,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",Republican,04/03/2020,Became Public Law No: 116-287.,01/05/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6418,https://www.congress.gov/bill/116th-congress/house-bill/6418,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 509 Fairhope Avenue in Fairhope, Alabama, as the William Jack Jackson Edwards III Post Office Building.","Byrne, Bradley [Rep.-R-AL-1]",Republican,03/31/2020,Became Public Law No: 116-312.,01/05/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6395,https://www.congress.gov/bill/116th-congress/house-bill/6395,116th Congress (2019-2020),"William M. (Mac) Thornberry National 
Defense Authorization Act for Fiscal Year 2021","Smith, Adam [Rep.-D-WA-9]",Democratic,03/26/2020,Became Public Law No: 116-283.,01/01/2021,94,H.R.6146,H.R.6574,H.R.6661,H.R.7125,H.R.7126,H.R.7157,H.R.7198,H.R.7320,H.R.7238,S.4094,H.R.7096,S.3890,H.R.7139,H.Res.1053,H.Res.1053,H.Res.1055,H.R.7376,H.R.7382,H.R.7390,H.R.7392,H.R.7424,H.R.7398,S.3900,S.3045,H.R.2500,S.1215,S.1790,H.R.7342,H.R.7403,H.R.7597,H.R.7416,H.R.7598,H.R.7678,H.R.7639,H.R.7343,H.R.7866,H.R.6764,H.R.7712,H.R.7586,H.R.7677,H.R.7474,S.4334,H.R.7600,H.R.7596,H.R.7682,H.R.7684,S.3868,S.4395,H.R.8186,H.R.6148,S.3854,H.R.6858,H.R.8237,H.R.3801,S.1680,H.R.6667,H.R.8207,H.R.6021,H.R.5664,H.R.8231,H.R.2166,H.R.8103,H.R.6125,H.R.8263,S.711,H.R.7931,S.4478,H.R.6489,H.R.7310,H.R.4864,S.4138,H.R.7588,H.R.7592,H.R.7265,S.4700,H.R.7560,S.4838,H.R.2398,H.Res.1039,S.Res.641,H.R.7577,H.R.7331,S.5074,H.R.6967,S.3713,S.4982,S.3692,S.3903,H.R.7081,H.R.7101,S.3776,H.R.7368,H.R.7444,H.R.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6322,https://www.congress.gov/bill/116th-congress/house-bill/6322,116th Congress (2019-2020),Student Veteran Coronavirus Response Act of 2020,"Takano, Mark [Rep.-D-CA-41]",Democratic,03/23/2020,Became Public Law No: 116-140.,04/28/2020,4,S.3678,H.R.6262,H.R.6379,S.3575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6237,https://www.congress.gov/bill/116th-congress/house-bill/6237,116th Congress (2019-2020),PRC for Native Veterans Act,"Gallego, Ruben [Rep.-D-AZ-7]",Democratic,03/12/2020,Became Public Law No: 116-311.,01/05/2021,1,H.R.8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6201,https://www.congress.gov/bill/116th-congress/house-bill/6201,116th Congress (2019-2020),Families First Coronavirus Response Act,"Lowey, Nita M. [Rep.-D-NY-17]",Democratic,03/11/2020,Became Public Law No: 116-127.,03/18/2020,21,H.Res.904,H.Res.904,H.R.6187,H.R.6198,H.R.6199,H.R.6200,H.R.6150,H.R.6139,H.R.6203,H.R.6213,H.R.6220,H.R.6214,S.3475,H.R.6244,H.R.6232,H.R.6263,H.R.6273,H.R.6298,S.3415,H.R.6261,S.3499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6192,https://www.congress.gov/bill/116th-congress/house-bill/6192,116th Congress (2019-2020),1921 Silver Dollar Coin Anniversary Act,"Barr, Andy [Rep.-R-KY-6]",Republican,03/11/2020,Became Public Law No: 116-286.,01/05/2021,2,H.R.3757,S.4326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6168,https://www.congress.gov/bill/116th-congress/house-bill/6168,116th Congress (2019-2020),Veterans' Compensation Cost-of-Living Adjustment Act of 2020,"Luria, Elaine G. [Rep.-D-VA-2]",Democratic,03/10/2020,Became Public Law No: 116-178.,10/20/2020,3,H.R.1200,S.2072,S.4579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6161,https://www.congress.gov/bill/116th-congress/house-bill/6161,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 1585 Yanceyville Street, Greensboro, North Carolina, as the J. Howard Coble Post Office Building.","Walker, Mark [Rep.-R-NC-6]",Republican,03/09/2020,Became Public Law No: 116-310.,01/05/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6100,https://www.congress.gov/bill/116th-congress/house-bill/6100,116th Congress (2019-2020),Strengthening the Opposition to Female Genital Mutilation Act of 2020,"Jackson Lee, Sheila [Rep.-D-TX-18]",Democratic,03/05/2020,Became Public Law No: 116-309.,01/05/2021,2,H.R.3583,S.2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6074,https://www.congress.gov/bill/116th-congress/house-bill/6074,116th Congress (2019-2020),"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020","Lowey, Nita M. [Rep.-D-NY-17]",Democratic,03/04/2020,Became Public Law No: 116-123.,03/06/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6016,https://www.congress.gov/bill/116th-congress/house-bill/6016,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 14955 West Bell Road in Surprise, Arizona, as the Marc Lee Memorial Post Office Building.","Lesko, Debbie [Rep.-R-AZ-8]",Republican,02/28/2020,Became Public Law No: 116-308.,01/05/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5983,https://www.congress.gov/bill/116th-congress/house-bill/5983,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 4150 Chicago Avenue in Riverside, California, as the Woodie Rucker-Hughes Post Office Building.","Takano, Mark [Rep.-D-CA-41]",Democratic,02/26/2020,Became Public Law No: 116-307.,01/05/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5972,https://www.congress.gov/bill/116th-congress/house-bill/5972,116th Congress (2019-2020),Mary Ann Shadd Cary Post Office Dedication Act,"Blunt Rochester, Lisa [Rep.-D-DE-At Large]",Democratic,02/26/2020,Became Public Law No: 116-306.,01/05/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5954,https://www.congress.gov/bill/116th-congress/house-bill/5954,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 108 West Maple Street in Holly, Michigan, as the Holly Veterans Memorial Post Office.","Slotkin, Elissa [Rep.-D-MI-8]",Democratic,02/25/2020,Became Public Law No: 116-244.,12/21/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5901,https://www.congress.gov/bill/116th-congress/house-bill/5901,116th Congress (2019-2020),Information Technology Modernization Centers of Excellence Program Act,"Khanna, Ro [Rep.-D-CA-17]",Democratic,02/13/2020,Became Public Law No: 116-194.,12/03/2020,2,S.4200,S.4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5852,https://www.congress.gov/bill/116th-congress/house-bill/5852,116th Congress (2019-2020),Weir Farm National Historical Park Redesignation Act,"Himes, James A. [Rep.-D-CT-4]",Democratic,02/11/2020,Became Public Law No: 116-305.,01/05/2021,1,S.3265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5671,https://www.congress.gov/bill/116th-congress/house-bill/5671,116th Congress (2019-2020),Merchant Mariners of World War II Congressional Gold Medal Act of 2020,"Garamendi, John [Rep.-D-CA-3]",Democratic,01/24/2020,Became Public Law No: 116-125.,03/13/2020,2,H.R.550,S.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5663,https://www.congress.gov/bill/116th-congress/house-bill/5663,116th Congress (2019-2020),Safeguarding Therapeutics Act,"Guthrie, Brett [Rep.-R-KY-2]",Republican,01/21/2020,Became Public Law No: 116-304.,01/05/2021,3,H.R.6379,H.R.6800,S.4225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5597,https://www.congress.gov/bill/116th-congress/house-bill/5597,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 305 Northwest 5th Street in Oklahoma City, Oklahoma, as the Clara Luper Post Office Building.","Horn, Kendra S. [Rep.-D-OK-5]",Democratic,01/14/2020,Became Public Law No: 116-303.,01/05/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5472,https://www.congress.gov/bill/116th-congress/house-bill/5472,116th Congress (2019-2020),Jimmy Carter National Historical Park Redesignation Act,"Bishop, Sanford D., Jr. [Rep.-D-GA-2]",Democratic,12/18/2019,Became Public Law No: 116-341.,01/13/2021,2,H.R.3098,S.3098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5459,https://www.congress.gov/bill/116th-congress/house-bill/5459,116th Congress (2019-2020),Rocky Mountain National Park Ownership Correction Act,"Neguse, Joe [Rep.-D-CO-2]",Democratic,12/17/2019,Became Public Law No: 116-302.,01/05/2021,2,S.3069,S.3331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5458,https://www.congress.gov/bill/116th-congress/house-bill/5458,116th Congress (2019-2020),Rocky Mountain National Park Boundary Modification Act,"Neguse, Joe [Rep.-D-CO-2]",Democratic,12/17/2019,Became Public Law No: 116-301.,01/05/2021,2,S.3068,S.3331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5451,https://www.congress.gov/bill/116th-congress/house-bill/5451,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 599 East Genesse Street in Fayetteville, New York, as the George H. Bacel Post Office Building.","Katko, John [Rep.-R-NY-24]",Republican,12/17/2019,Became Public Law No: 116-300.,01/05/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5430,https://www.congress.gov/bill/116th-congress/house-bill/5430,116th Congress (2019-2020),United States-Mexico-Canada Agreement Implementation Act,"Hoyer, Steny H. [Rep.-D-MD-5]",Democratic,12/13/2019,Became Public Law No: 116-113.,01/29/2020,3,S.267,S.3052,H.R.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5384,https://www.congress.gov/bill/116th-congress/house-bill/5384,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 100 Crosby Street in Mansfield, Louisiana, as the Dr. C.O. Simpkins, Sr., Post Office.","Johnson, Mike [Rep.-R-LA-4]",Republican,12/10/2019,Became Public Law No: 116-204.,12/03/2020,2,S.3365,S.3365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5363,https://www.congress.gov/bill/116th-congress/house-bill/5363,116th Congress (2019-2020),FUTURE Act,"Adams, Alma S. [Rep.-D-NC-12]",Democratic,12/09/2019,Became Public Law No: 116-91.,12/19/2019,2,H.R.5368,H.R.2486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5317,https://www.congress.gov/bill/116th-congress/house-bill/5317,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 315 Addicks Howell Road in Houston, Texas, as the Deputy Sandeep Singh Dhaliwal Post Office Building.","Fletcher, Lizzie [Rep.-D-TX-7]",Democratic,12/05/2019,Became Public Law No: 116-243.,12/21/2020,1,S.4851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5307,https://www.congress.gov/bill/116th-congress/house-bill/5307,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 115 Nicol Avenue in Thomasville, Alabama, as the ""Postmaster Robert Ingram Post Office"".","Sewell, Terri A. [Rep.-D-AL-7]",Democratic,12/05/2019,Became Public Law No: 116-220.,12/17/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5277,https://www.congress.gov/bill/116th-congress/house-bill/5277,116th Congress (2019-2020),"To amend section 442 of title 18, United States Code, to exempt certain interests in mutual funds, unit investment trusts, employee benefit plans, and retirement plans from conflict of interest limitations for the Government Publishing Office.","Lofgren, Zoe [Rep.-D-CA-19]",Democratic,12/03/2019,Became Public Law No: 116-78.,12/05/2019,1,S.2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5273,https://www.congress.gov/bill/116th-congress/house-bill/5273,116th Congress (2019-2020),Securing America's Ports Act,"Torres Small, Xochitl [Rep.-D-NM-2]",Democratic,11/26/2019,Became Public Law No: 116-299.,01/05/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5214,https://www.congress.gov/bill/116th-congress/house-bill/5214,116th Congress (2019-2020),Representative Payee Fraud Prevention Act of 2019,"Tlaib, Rashida [Rep.-D-MI-13]",Democratic,11/21/2019,Became Public Law No: 116-126.,03/18/2020,1,S.1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
